crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
6	18	8	A	HK	2017-02-17	13.118	2017-10-24	NA	186	344	879WKG	2-2	hook	892WKG	1	kaal	hybrid	HK	879-2-2 x 892-1	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.1	hook879WKG
62	21	1	A	HH	2017-02-17	19.482	2017-10-24	NA	187	344	WK	2	hook	879WKG	N-5	hook	between	HH	794-2 x 879-N-5	hook.between	hook.between.WK.2	WK.2	879WKG.N-5	hookWK
181	10	2	B	KK	2017-02-17	6.003	2017-10-24	NA	188	344	904WPG	5	kaal	892WKG	4	kaal	between	KK	904-5 x 892-4	kaal.between	kaal.between.904WPG.5	904WPG.5	892WKG.4	kaal904WPG
23	3	8	A	HK	2017-02-17	12.909	2017-10-24	NA	189	344	879WKG	10-1	hook	892WKG	1	kaal	hybrid	HK	879-10-1 x 892-1	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	892WKG.1	hook879WKG
89	14	1	A	HH	2017-02-17	10.507	2017-10-24	NA	190	344	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
99	8	7	A	HK	2017-02-17	17.72	2017-10-24	NA	191	344	WK	2	hook	3587WP	7	kaal	hybrid	HK	866-2 x 3587-7	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.7	hookWK
63	13	11	NA	HH	2017-02-17	18.261	2017-10-24	NA	192	344	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
105	4	6	A	HK	2017-02-18	8.305	2017-10-24	NA	193	345	WK	2E- 1	hook	904WPG	5	kaal	hybrid	HK	899-2E- 1 x 904-5	hook.hybrid	hook.hybrid.WK.2E- 1	WK.2E- 1	904WPG.5	hookWK
20	1	1	B	HH	2017-02-17	11.712	2017-10-25	NA	194	344	879WKG	10-1	hook	WK	4	hook	between	HH	879-10-1 x 794-4	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.4	hook879WKG
64	2	11	NA	HH	2017-02-18	14.652	2017-10-25	NA	195	345	WK	2	hook	WK	2	hook	within	HH	794-2 x 866-2	hook.within	hook.within.WK.2	WK.2	WK.2	hookWK
19	8	1	B	HH	2017-02-17	15.64	2017-10-25	NA	196	344	879WKG	10-1	hook	WK	2	hook	between	HH	879-10-1 x 794-2	hook.between	hook.between.879WKG.10-1	879WKG.10-1	WK.2	hook879WKG
73	1	7	A	HK	2017-02-17	6.667	2017-10-25	NA	197	344	WK	2	hook	3587WP	C	kaal	hybrid	HK	794-2 x 3587-C	hook.hybrid	hook.hybrid.WK.2	WK.2	3587WP.C	hookWK
9	17	8	A	HK	2017-02-17	8.893	2017-10-25	NA	198	344	879WKG	2-2	hook	892WKG	5	kaal	hybrid	HK	879-2-2 x 892-5	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.5	hook879WKG
95	3	5	A	HK	2017-02-17	2.816	2017-10-25	NA	199	344	WK	2	hook	892WKG	4	kaal	hybrid	HK	866-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
79	14	11	NA	HH	2017-02-18	16.104	2017-10-25	NA	200	345	WK	4	hook	WK	2	hook	within	HH	794-4 x 866-2	hook.within	hook.within.WK.4	WK.4	WK.2	hookWK
167	7	2	B	KK	2017-02-18	8.618	2017-10-25	NA	201	345	904WPG	3	kaal	892WKG	4	kaal	between	KK	904-3 x 892-4	kaal.between	kaal.between.904WPG.3	904WPG.3	892WKG.4	kaal904WPG
89	16	1	A	HH	2017-02-05	16.825	2017-10-25	NA	202	332	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
171	4	9	B	KH	2017-02-19	8.772	2017-10-25	NA	203	346	904WPG	5	kaal	879WKG	2-2	hook	hybrid	KH	904-5 x 879-2-2	kaal.hybrid	kaal.hybrid.904WPG.5	904WPG.5	879WKG.2-2	kaal904WPG
58	2	10	A	HK	2017-02-17	24.425	2017-10-25	NA	204	344	879WKG	N-5	hook	3587WP	C	kaal	hybrid	HK	879-N-5 x 3587-C	hook.hybrid	hook.hybrid.879WKG.N-5	879WKG.N-5	3587WP.C	hook879WKG
4	1	1	B	HH	2017-02-17	19.127	2017-10-25	NA	205	344	879WKG	2-2	hook	WK	2	hook	between	HH	879-2-2 x 794-2	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.2	hook879WKG
5	5	1	B	HH	2017-02-17	2.465	2017-11-01	NA	206	344	879WKG	2-2	hook	WK	4	hook	between	HH	879-2-2 x 794-4	hook.between	hook.between.879WKG.2-2	879WKG.2-2	WK.4	hook879WKG
