vial,line,cross,hr,momid,dadid,pollination_date,mid,bottom,grains,notes
115D,341,HxH,24,879 2-2,866-2,,22,12,88,
116A,342,HxH,24,879 2-2,866-2,,14,14,49,
116B,342,HxH,24,879 2-2,866-2,,19,15,55,
117A,343,KxK,4,892-4,116-3,,14,5,134,
117B,343,KxK,4,892-4,116-3,,7,6,116,
117C,343,KxK,4,892-4,116-3,,11,8,110,
118A,344,KxK,4,892-4,116-3,,6,4,95,
118B,344,KxK,4,892-4,116-3,,6,3,53,
118C,344,KxK,4,892-4,116-3,,4,2,124,
119A,345,KxK,4,892-4,116-3,,6,5,81,
119B,345,KxK,4,892-4,116-3,,5,5,72,
120A,346,KxK,4,892-4,116-3,,5,5,21,
120B,346,KxK,4,892-4,116-3,,9,8,62,
120C,346,KxK,4,892-4,116-3,,6,3,10,
121A,347,KxK,4,892-4,116-3,,5,3,27,
121B,347,KxK,4,892-4,116-3,,5,4,37,
121C,347,KxK,4,892-4,116-3,,6,6,18,
122A,348,KxK,4,892-4,140-6,,11,7,1,
122B,348,KxK,4,892-4,140-6,,10,5,12,
122C,348,KxK,4,892-4,140-6,,8,8,5,
123A,349,KxK,4,892-4,140-6,,2,5,0,
123B,349,KxK,4,892-4,140-6,,5,3,1,
123C,349,KxK,4,892-4,140-6,,4,8,5,
124A,350,KxK,4,892-4,115-2,,8,5,38,
124B,350,KxK,4,892-4,115-2,,9,5,10,
124C,340,KxK,4,892-4,115-2,,8,4,39,
125A,351,KxK,4,892-4,115-2,,6,6,42,
125B,351,KxK,4,892-4,115-2,,12,8,41,
126A,352,KxK,4,892-4,115-2,,8,7,66,
126B,352,KxK,4,892-4,115-2,,13,12,12,
126C,352,KxK,4,892-4,115-2,,8,6,29,
127A,354,KxK,4,892-4,115-2,,4,2,2,
127B,354,KxK,4,892-4,115-2,,8,6,4,
127C,354,KxK,4,892-4,115-2,,7,6,0,
128A,355,KxK,4,892-4,115-2,,10,9,4,
128B,355,KxK,4,892-4,115-2,,8,6,0,
128C,355,KxK,4,892-4,115-2,,5,6,0,
129A,356,KxK,4,892-4,115-2,,14,8,46,
129B,356,KxK,4,892-4,115-2,,11,4,12,
131A,358,KxK,4,892-4,115-2,,8,4,22,
131B,358,KxK,4,892-4,115-2,,10,4,62,
132A,359,KxK,24,892-4,115-2,,10,9,36,
132B,359,KxK,24,892-4,115-2,,6,3,22,
132C,359,KxK,24,892-4,115-2,,11,10,94,
133A,360,KxK,24,892-4,115-2,,5,5,8,
133B,360,KxK,24,892-4,115-2,,9,7,46,
133C,360,KxK,24,892-4,115-2,,15,12,30,
133D,360,KxK,24,892-4,115-2,,11,11,32,
134A,361,KxK,24,892-4,115-2,,6,4,36,
134B,361,KxK,24,892-4,115-2,,8,7,38,
134C,361,KxK,24,892-4,115-2,,10,10,80,
134D,361,KxK,24,892-4,115-2,,8,7,36,
135A,364,KxK,24,892-4,115-2,,8,7,22,
135B,364,KxK,24,892-4,115-2,,9,7,72,
135C,364,KxK,24,892-4,115-2,,4,2,27,
135D,364,KxK,24,892-4,115-2,,9,6,39,
137A,362,KxK,24,892-4,115-2,,11,7,102,
137B,362,KxK,24,892-4,115-2,,10,8,87,
137D,362,KxK,24,892-4,115-2,,9,9,56,
